States,Latitude,Longitude,totalConfirmedCases,recovered,deaths
Andaman and Nicobar Islands,11.66702557,92.73598262,33,33,0
Andhra Pradesh,14.7504291,78.57002559,2532,1621,52
Arunachal Pradesh,27.10039878,93.61660071,1,1,0
Assam,26.7499809,94.21666744,142,41,4
Bihar,25.78541445,87.4799727,1498,534,9
Chandigarh,30.71999697,76.78000565,200,57,3
Chhattisgarh,22.09042035,82.15998734,101,59,0
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA
Delhi,28.6699929,77.23000403,10554,4750,168
Goa,15.491997,73.81800065,46,7,0
Haryana,28.45000633,77.01999101,964,627,14
Himachal Pradesh,31.10002545,77.16659704,92,47,3
Jammu and Kashmir,34.29995933,74.46665849,1317,653,17
Jharkhand,23.80039349,86.41998572,231,127,3
Karnataka,12.57038129,76.91999711,1397,544,40
Kerala,8.900372741,76.56999263,642,497,4
Lakshadweep,10.56257331,72.63686717,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,5465,2630,258
Maharashtra,19.25023195,73.16017493,37136,9639,1325
Manipur,24.79997072,93.95001705,9,2,0
Meghalaya,25.57049217,91.8800142,13,12,1
Mizoram,23.71039899,92.72001461,1,1,0
Nagaland,25.6669979,94.11657019,NA,NA,NA
Odisha,19.82042971,85.90001746,978,277,5
Puducherry,11.93499371,79.83000037,18,9,1
Punjab,31.51997398,75.98000281,2002,1642,38
Rajasthan,26.44999921,74.63998124,5845,3337,143
Sikkim,27.3333303,88.6166475,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,12448,4895,84
Tripura,23.83540428,91.27999914,173,116,0
Uttar Pradesh,27.59998069,78.05000565,4926,2918,123
Uttarakhand,30.32040895,78.05000565,111,52,1
West Bengal,22.58039044,88.32994665,2961,1074,250
Ladakh,34.152588,77.577049,43,43,0
Telengana,18.1124,79.0193,1634,1010,38
Gujarat,22.2587,71.1924,12140,5043,719
