States,Latitude,Longitude,totalConfirmedCases,recovered,deaths
Andaman and Nicobar Islands,11.66702557,92.73598262,33,33,0
Andhra Pradesh,14.7504291,78.57002559,2355,1353,49
Arunachal Pradesh,27.10039878,93.61660071,1,1,0
Assam,26.7499809,94.21666744,92,41,2
Bihar,25.78541445,87.4799727,1179,453,7
Chandigarh,30.71999697,76.78000565,191,51,3
Chhattisgarh,22.09042035,82.15998734,67,56,0
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA
Delhi,28.6699929,77.23000403,9333,3926,129
Goa,15.491997,73.81800065,17,7,0
Haryana,28.45000633,77.01999101,887,514,13
Himachal Pradesh,31.10002545,77.16659704,78,43,3
Jammu and Kashmir,34.29995933,74.46665849,1121,542,12
Jharkhand,23.80039349,86.41998572,217,113,3
Karnataka,12.57038129,76.91999711,1092,496,36
Kerala,8.900372741,76.56999263,587,495,4
Lakshadweep,10.56257331,72.63686717,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,4789,2315,243
Maharashtra,19.25023195,73.16017493,30706,7088,1135
Manipur,24.79997072,93.95001705,7,2,0
Meghalaya,25.57049217,91.8800142,13,11,1
Mizoram,23.71039899,92.72001461,1,1,0
Nagaland,25.6669979,94.11657019,NA,NA,NA
Odisha,19.82042971,85.90001746,737,196,3
Puducherry,11.93499371,79.83000037,13,9,1
Punjab,31.51997398,75.98000281,1946,1257,32
Rajasthan,26.44999921,74.63998124,4960,2839,126
Sikkim,27.3333303,88.6166475,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,10585,3538,74
Tripura,23.83540428,91.27999914,167,64,0
Uttar Pradesh,27.59998069,78.05000565,4258,2441,104
Uttarakhand,30.32040895,78.05000565,88,51,1
West Bengal,22.58039044,88.32994665,2576,872,232
Ladakh,34.152588,77.577049,43,22,0
Telengana,18.1124,79.0193,1509,971,34
Gujarat,22.2587,71.1924,10988,4308,625
